2066;134;2
2066;135;7
2066;164;7
2066;165;7
2066;166;7
2066;136;2.708050
2066;149;3
2066;150;6
2066;151;9
2066;152;4
2066;154;264
2066;155;16
2066;156;48
2066;163;280
2067;162;7
2067;129;7
2067;130;4
2067;131;4
2067;132;1
2067;133;1
2067;137;3
2067;138;1
2067;139;1
2067;140;3
2067;142;1
2067;146;1
2067;134;1
2067;135;1
2067;164;1
2067;165;1
2067;166;1
2067;151;1
2067;155;12
2067;156;16
2067;163;12
2068;162;7
2068;129;7
2068;130;4
2068;131;4
2068;132;1
2068;133;1
2068;137;3
2068;138;1
2068;139;1
2068;140;3
2068;142;1
2068;146;1
2068;134;1
2068;135;1
2068;164;1
2068;165;1
2068;166;1
2068;151;1
2068;155;16
2068;156;16
2068;163;16
2046;47;0.000001
2046;10;1
2046;34;0.062973
2046;41;8192
2069;7;1967
2070;7;346
2069;39;205
2069;12;24582
2069;40;81
2069;18;1
2069;13;533
2069;11;222
2069;15;1
2069;14;11
2069;44;4101344256
2070;39;64
2070;12;7601
2070;40;12
2070;18;1
2070;13;180
2070;11;97
2070;15;1
2070;14;31
2070;44;4139081472
2070;47;0.000001
2070;8;3
2070;34;0.062973
2111;84;10
2111;65;10
2111;81;4
2113;84;4
2113;65;4
2113;68;2
2113;72;2
2113;81;2
2123;84;5
2123;65;5
2123;68;3
2123;72;3
2123;78;2
2123;79;1
2123;81;12
2131;84;61
2131;65;177
2131;68;37
2131;72;37
2131;78;5
2131;79;1
2131;81;5828
2069;47;0.000001
2069;8;2
2069;10;2
2069;19;25
2069;20;66
2069;21;243
2069;22;19
2069;23;6
2069;25;2710
2069;26;3555
2069;27;305
2069;28;318
2069;29;82
2069;30;605
2069;31;1523
2069;32;78
2069;33;1005
2069;35;78
2069;24;87.444504
2069;34;1
2069;38;1518.810181
2069;41;188
2069;42;8
2069;43;17
2219;84;7
2219;65;7
2219;68;5
2219;72;5
2219;81;12
2121;84;1
2121;65;1
2121;68;1
2121;72;1
2121;81;4
2227;162;9
2227;129;10
2227;130;9
2227;131;8
2227;132;1
2227;133;1
2227;137;4
2227;138;1
2227;139;1
2227;140;8
2227;142;1
2227;146;1
2227;134;1
2227;135;1
2227;164;1
2227;165;1
2227;166;1
2227;151;1
2227;155;16
2227;156;32
2227;163;16
2228;162;77
2228;129;108
2228;130;183
2228;131;54
2228;132;239
2228;133;20
2228;137;8
2228;138;7
2228;139;7
2228;140;17
2228;141;38
2228;142;59
2228;144;11
2228;145;1
2228;146;3
2228;147;1
2228;148;4
2228;134;6
2228;135;12
2228;164;25
2228;165;12
2228;166;25
2228;136;5.135798
2228;149;19
2228;150;12
2228;151;17
2228;152;4
2228;153;1
2228;154;12
2228;155;32
2228;156;8
2228;163;44
2229;162;58
2229;129;67
2229;130;122
2229;131;41
2229;132;143
2229;133;23
2229;137;3
2229;138;3
2229;139;4
2229;140;8
2229;141;35
2229;142;50
2229;143;2
2229;144;5
2229;146;3
2229;147;1
2229;148;6
2229;134;3
2229;135;8
2229;164;13
2229;165;8
2229;166;13
2229;136;2.995732
2229;149;6
2229;150;7
2229;151;10
2229;152;5
2229;154;24
2229;155;12
2229;156;32
2229;163;36
2230;162;25
2230;129;33
2230;130;49
2230;131;24
2230;132;50
2230;133;10
2230;137;1
2230;138;3
2230;139;3
2230;140;7
2230;141;11
2230;142;16
2230;144;2
2230;146;2
2230;147;1
2230;148;1
2230;134;2
2230;135;5
2230;164;8
2230;165;5
2230;166;8
2230;136;1.098612
2230;149;6
2230;150;2
2230;151;4
2230;152;1
2230;154;4
2230;155;4
2230;156;28
2230;163;8
2231;162;9
2231;129;10
2231;130;8
2231;131;6
2231;132;5
2231;133;4
2231;137;1
2231;138;2
2231;139;2
2231;140;2
2231;141;2
2231;142;5
2231;144;1
2231;146;2
2231;147;1
2231;148;1
2231;134;1
2231;135;2
2231;164;2
2231;165;2
2231;166;2
2231;136;0.693147
2231;149;1
2231;150;1
2231;151;2
2231;152;1
2231;154;4
2231;155;4
2231;156;8
2231;163;8
2232;162;9
2232;129;9
2232;130;11
2232;131;7
2232;132;14
2232;133;7
2232;137;2
2232;141;1
2232;142;6
2232;144;2
2232;146;2
2232;147;1
2232;134;3
2232;135;3
2232;164;4
2232;165;3
2232;166;4
2232;136;1.098612
2232;150;2
2232;151;5
2232;155;8
2232;163;8
2233;162;12
2233;129;12
2233;130;14
2233;131;7
2233;132;16
2233;133;8
2233;137;3
2233;141;2
